Date,Price,Open,High,Low,Vol.,Change %
"Mar 09, 2004",295,286.5,295.25,286.5,3.21K,2.97%
"Mar 08, 2004",286.5,288,288.5,285,5.46K,-1.38%
"Mar 05, 2004",290.5,291.25,292,288,4.68K,-0.09%
"Mar 04, 2004",290.75,291,292.5,288.25,9.42K,0.09%
"Mar 03, 2004",290.5,288,291.5,287,10.07K,0.35%
"Mar 02, 2004",289.5,296,298.5,288.5,15.27K,-2.20%
"Mar 01, 2004",296,296,298.25,294,12.21K,-0.08%
"Feb 27, 2004",296.25,295.75,297.75,294,21.78K,0.08%
"Feb 26, 2004",296,291.25,297,289.5,34.54K,1.46%
"Feb 25, 2004",291.75,290,294,288.5,33.81K,0.34%
"Feb 24, 2004",290.75,287.25,291,285,48.66K,1.22%
"Feb 23, 2004",287.25,285.5,289.5,285.5,62.65K,0.88%
"Feb 20, 2004",284.75,284.25,288,282.5,52.10K,0.00%
"Feb 19, 2004",284.75,279.75,285.25,279,49.45K,1.79%
"Feb 18, 2004",279.75,284,284.5,279.5,60.01K,-1.50%
"Feb 17, 2004",284,282.5,286.5,282.5,43.91K,0.53%
"Feb 13, 2004",282.5,281.25,283.25,278.25,34.01K,0.44%
"Feb 12, 2004",281.25,284,285.75,279.5,52.90K,-1.06%
"Feb 11, 2004",284.25,279.75,285,278.75,52.00K,1.52%
"Feb 10, 2004",280,284,286.75,279.5,85.77K,-1.50%
"Feb 09, 2004",284.25,276.5,284.5,273.5,65.08K,1.88%
"Feb 06, 2004",279,275,279.5,274.75,49.87K,1.36%
"Feb 05, 2004",275.25,270.25,276.5,268.75,59.40K,1.85%
"Feb 04, 2004",270.25,273.25,274.75,269.25,38.55K,-1.01%
"Feb 03, 2004",273,271.5,275.75,270.75,40.73K,0.65%
"Feb 02, 2004",271.25,274.75,275.5,269,45.31K,-1.81%
"Jan 30, 2004",276.25,270.25,277,270.25,45.93K,2.31%
"Jan 29, 2004",270,269.75,272.5,268.25,43.24K,-0.28%
"Jan 28, 2004",270.75,276,276,269.75,73.07K,-1.99%
"Jan 27, 2004",276.25,281,281,275.25,53.28K,-1.78%
"Jan 26, 2004",281.25,276.25,281.5,276.25,46.92K,1.53%
"Jan 23, 2004",277,275,278.75,273.25,58.81K,0.36%
"Jan 22, 2004",276,277.5,278.5,275,37.13K,-0.45%
"Jan 21, 2004",277.25,274.75,278.25,272.5,54.93K,0.73%
"Jan 20, 2004",275.25,272,278.75,270.75,69.57K,1.01%
"Jan 16, 2004",272.5,268.5,273.5,266.5,67.18K,1.40%
"Jan 15, 2004",268.75,268,271.5,266.5,68.04K,0.00%
"Jan 14, 2004",268.75,268,269.5,265.75,56.86K,0.09%
"Jan 13, 2004",268.5,263.75,270.25,263.75,75.93K,1.13%
"Jan 12, 2004",265.5,251,268,249.25,108.17K,5.78%
"Jan 09, 2004",251,251.25,252.75,250.25,32.10K,-0.30%
"Jan 08, 2004",251.75,249.75,253.5,248.5,32.14K,0.70%
"Jan 07, 2004",250,251,251.75,248.75,34.09K,-0.60%
"Jan 06, 2004",251.5,252.75,255,251,32.85K,-0.59%
"Jan 05, 2004",253,252,256,250.5,49.07K,-0.10%
"Jan 02, 2004",253.25,246,257,245.75,67.35K,2.95%
"Dec 31, 2003",246,243.5,246.5,243.25,25.92K,1.44%
"Dec 30, 2003",242.5,241,243.75,240.5,23.85K,-0.10%
"Dec 29, 2003",242.75,241,244,239.5,39.99K,1.25%
"Dec 26, 2003",239.75,234,240.5,232.75,62.59K,1.70%
"Dec 24, 2003",235.75,229,238.5,229,97.42K,-3.28%
